Method,Ratio,AUROC,TPR@0%,TPR@1%,TPR@5%
Simple_1 (k=1),0,0.924245,0.567073,0.640244,0.701220
Simple_1 (k=1),25,0.845795,0.347561,0.414634,0.500000
Simple_1 (k=1),50,0.841278,0.323171,0.390244,0.500000
Simple_1 (k=1),75,0.826164,0.298780,0.347561,0.451220
Simple_1 (k=1),100,0.734105,0.219512,0.256098,0.310976
Multi-token (k=3),0,0.951628,0.493902,0.493902,0.762195
Multi-token (k=3),25,0.900190,0.371951,0.371951,0.615854
Multi-token (k=3),50,0.902513,0.359756,0.359756,0.621951
Multi-token (k=3),75,0.896137,0.317073,0.317073,0.591463
Multi-token (k=3),100,0.879090,0.298780,0.304878,0.567073
Multi-token (k=5),0,0.934656,0.292683,0.646341,0.823171
Multi-token (k=5),25,0.904354,0.207317,0.500000,0.689024
Multi-token (k=5),50,0.900357,0.207317,0.493902,0.682927
Multi-token (k=5),75,0.901937,0.158537,0.457317,0.670732
Multi-token (k=5),100,0.866244,0.128049,0.402439,0.634146
Unigram (k=0),0,0.978919,0.719512,0.725610,0.914634
Unigram (k=0),25,0.944546,0.506098,0.518293,0.750000
Unigram (k=0),50,0.936069,0.506098,0.506098,0.737805
Unigram (k=0),75,0.941144,0.493902,0.500000,0.756098
Unigram (k=0),100,0.924766,0.439024,0.445122,0.707317
CodeBERT,0,0.487954,0.000000,0.012195,0.054878
CodeBERT,25,0.475312,0.006098,0.012195,0.036585
CodeBERT,50,0.479755,0.000000,0.006098,0.042683
CodeBERT,75,0.469178,0.000000,0.006098,0.036585
CodeBERT,100,0.468862,0.000000,0.012195,0.036585
